DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
26-11-1990;00:00:01;0;1466,3;1443,2;1443,2;1466,3
27-11-1990;00:00:01;0;1438,3;1415,3;1415,3;1438,3
28-11-1990;00:00:01;0;1410;1420,6;1402,8;1431,9
29-11-1990;00:00:01;0;1420,4;1418,9;1415,8;1424,6
30-11-1990;00:00:01;0;1421,5;1441,2;1421,5;1443,9
03-12-1990;00:00:01;0;1470,1;1462,6;1458,7;1476,6
04-12-1990;00:00:01;0;1450,1;1446,3;1436,8;1450,1
05-12-1990;00:00:01;0;1462,9;1471;1457,1;1473
06-12-1990;00:00:01;0;1492;1504,7;1483,8;1504,7
07-12-1990;00:00:01;0;1505,1;1512,8;1504,7;1515,9
10-12-1990;00:00:01;0;1510;1504,8;1504,8;1521,1
11-12-1990;00:00:01;0;1492,8;1492,7;1486,3;1493
12-12-1990;00:00:01;0;1510;1517,2;1510;1520,6
13-12-1990;00:00:01;0;1532;1517,8;1516,8;1534,8
14-12-1990;00:00:01;0;1508,1;1522,4;1505,1;1523
17-12-1990;00:00:01;0;1512,4;1475,9;1475,9;1512,4
18-12-1990;00:00:01;0;1472,6;1477,4;1472,6;1483,5
19-12-1990;00:00:01;0;1478,5;1457,2;1452,1;1478,5
20-12-1990;00:00:01;0;1422,1;1409,3;1409,3;1426
21-12-1990;00:00:01;0;1404,9;1414,9;1404,9;1421,5
27-12-1990;00:00:01;0;1414,7;1410,9;1409,2;1419,1
28-12-1990;00:00:01;0;1403,3;1398,2;1389;1403,3
02-01-1991;00:00:01;0;1375,4;1366,1;1359,1;1375,4
03-01-1991;00:00:01;0;1371,7;1366,7;1365,2;1374,7
04-01-1991;00:00:01;0;1375,4;1396,1;1375,4;1398
07-01-1991;00:00:01;0;1373,6;1358,2;1352,5;1373,6
08-01-1991;00:00:01;0;1350,4;1354;1345,5;1357,1
09-01-1991;00:00:01;0;1358,6;1375,2;1358;1380,8
10-01-1991;00:00:01;0;1367,9;1383,4;1363,1;1383,7
11-01-1991;00:00:01;0;1401,3;1382,3;1376,9;1406,4
14-01-1991;00:00:01;0;1354,5;1327,8;1327,8;1354,5
15-01-1991;00:00:01;0;1327;1325,6;1312,4;1330,3
16-01-1991;00:00:01;0;1316,1;1322,7;1311,8;1329,4
17-01-1991;00:00:01;0;1380,3;1422,7;1380,3;1422,7
18-01-1991;00:00:01;0;1403,6;1405,1;1394,7;1407,3
21-01-1991;00:00:01;0;1393,3;1390,2;1390;1396,5
22-01-1991;00:00:01;0;1374,2;1375,1;1367;1380,1
23-01-1991;00:00:01;0;1365,1;1358,8;1355,9;1371
24-01-1991;00:00:01;0;1372,9;1375,2;1372,9;1380,4
